"CALC_FOR_STATE_ACCT","Gradespan","DISTRICT","distname","COUNTY","cntyname","REGION","regnname","DIST_ALLN","DIST_ALLR","DIST_ALLD","DIST_MALN","DIST_MALR","DIST_MALD","DIST_FEMN","DIST_FEMR","DIST_FEMD","DIST_AAN","DIST_AAR","DIST_AAD","DIST_ASN","DIST_ASR","DIST_ASD","DIST_HSN","DIST_HSR","DIST_HSD","DIST_NAN","DIST_NAR","DIST_NAD","DIST_WHN","DIST_WHR","DIST_WHD","DIST_PIN","DIST_PIR","DIST_PID","DIST_MUN","DIST_MUR","DIST_MUD","DIST_ATRN","DIST_ATRR","DIST_ATRD","DIST_BEN","DIST_BER","DIST_BED","DIST_TTLN","DIST_TTLR","DIST_TTLD","DIST_CTEN","DIST_CTER","DIST_CTED","DIST_ECNN","DIST_ECNR","DIST_ECND","DIST_GFTN","DIST_GFTR","DIST_GFTD","DIST_IMMN","DIST_IMMR","DIST_IMMD","DIST_LEPN","DIST_LEPR","DIST_LEPD","DIST_MIGN","DIST_MIGR","DIST_MIGD","DIST_OVRN","DIST_OVRR","DIST_OVRD","DIST_SPEN","DIST_SPER","DIST_SPED"
"Yes","912","001908","Westwood ISD","001","Anderson County","07","Kilgore","-","0.4","<500","-","0.4","<300","-","0.4","<300","0","0.0","87","0","0.0","5","-","1.5","<100",".",".",".","-","0.3","<300","0","0.0","2","0","0.0","15","-","0.6","<200","0","0.0","4",".",".",".","0","0.0","81","-","0.8","<300","0","0.0","19","0","0.0","3","0","0.0","5",".",".",".","-","1.4","<200","-","2.0","<100"
"No","712","001909","Slocum ISD","001","Anderson County","07","Kilgore","0","0.0","182","0","0.0","83","0","0.0","99","0","0.0","1",".",".",".","0","0.0","10","0","0.0","4","0","0.0","166",".",".",".","0","0.0","1","0","0.0","62","0","0.0","1","0","0.0","182","0","0.0","103","0","0.0","77","0","0.0","7",".",".",".","0","0.0","1",".",".",".","0","0.0","41","0","0.0","25"
"Yes","712","001909","Slocum ISD","001","Anderson County","07","Kilgore","0","0.0","181","0","0.0","83","0","0.0","98","0","0.0","1",".",".",".","0","0.0","10","0","0.0","4","0","0.0","165",".",".",".","0","0.0","1","0","0.0","61","0","0.0","1","0","0.0","181","0","0.0","102","0","0.0","76","0","0.0","7",".",".",".","0","0.0","1",".",".",".","0","0.0","41","0","0.0","25"
"No","78","001909","Slocum ISD","001","Anderson County","07","Kilgore","0","0.0","59","0","0.0","23","0","0.0","36",".",".",".",".",".",".","0","0.0","2","0","0.0","3","0","0.0","53",".",".",".","0","0.0","1","0","0.0","13","0","0.0","1","0","0.0","59",".",".",".","0","0.0","28","0","0.0","5",".",".",".","0","0.0","1",".",".",".","0","0.0","12","0","0.0","7"
"Yes","78","001909","Slocum ISD","001","Anderson County","07","Kilgore","0","0.0","59","0","0.0","23","0","0.0","36",".",".",".",".",".",".","0","0.0","2","0","0.0","3","0","0.0","53",".",".",".","0","0.0","1","0","0.0","13","0","0.0","1","0","0.0","59",".",".",".","0","0.0","28","0","0.0","5",".",".",".","0","0.0","1",".",".",".","0","0.0","12","0","0.0","7"
"No","912","001909","Slocum ISD","001","Anderson County","07","Kilgore","0","0.0","123","0","0.0","60","0","0.0","63","0","0.0","1",".",".",".","0","0.0","8","0","0.0","1","0","0.0","113",".",".",".",".",".",".","0","0.0","49",".",".",".","0","0.0","123","0","0.0","103","0","0.0","49","0","0.0","2",".",".",".",".",".",".",".",".",".","0","0.0","29","0","0.0","18"
"Yes","912","001909","Slocum ISD","001","Anderson County","07","Kilgore","0","0.0","122","0","0.0","60","0","0.0","62","0","0.0","1",".",".",".","0","0.0","8","0","0.0","1","0","0.0","112",".",".",".",".",".",".","0","0.0","48",".",".",".","0","0.0","122","0","0.0","102","0","0.0","48","0","0.0","2",".",".",".",".",".",".",".",".",".","0","0.0","29","0","0.0","18"
"No","712","002901","Andrews ISD","002","Andrews County","18","Midland","-","0.7","<1,700","-","0.8","<900","-","0.6","<800","0","0.0","30","0","0.0","7","-","0.9","<1,100","0","0.0","6","-","0.5","<600",".",".",".","0","0.0","31","-","0.7","<800","-","1.9","<100","-","0.6","<1,700","-","0.3","<400","-","0.9","<600","0","0.0","77","-","8.3","<100","-","4.3","<100","0","0.0","7","-","1.4","<400","-","0.8","<200"
"Yes","712","002901","Andrews ISD","002","Andrews County","18","Midland","-","0.7","<1,700","-","0.8","<900","-","0.5","<800","0","0.0","30","0","0.0","7","-","0.9","<1,100","0","0.0","6","-","0.4","<600",".",".",".","0","0.0","31","-","0.7","<800","-","1.9","<100","-","0.6","<1,700","-","0.3","<400","-","0.9","<600","0","0.0","77","-","8.3","<100","-","4.3","<100","0","0.0","7","-","1.1","<400","-","0.8","<200"
"No","78","002901","Andrews ISD","002","Andrews County","18","Midland","-","0.7","<600","-","1.0","<400","-","0.3","<300","0","0.0","11","0","0.0","4","-","1.1","<400","0","0.0","4","0","0.0","198",".",".",".","0","0.0","11","-","0.3","<400","0","0.0","24","-","0.7","<600",".",".",".","-","1.2","<300","0","0.0","26","0","0.0","4","-","4.4","<100","0","0.0","4","-","1.4","<200","0","0.0","38"
