"DIST_ALLN","DIST_ALLR","DIST_ALLD","DISTRICT","Gradespan","DIST_MALN","DIST_MALR","DIST_MALD","DIST_FEMN","DIST_FEMR","DIST_FEMD","DIST_AAN","DIST_AAR","DIST_AAD","DIST_ASN","DIST_ASR","DIST_ASD","DIST_HSN","DIST_HSR","DIST_HSD","DIST_NAN","DIST_NAR","DIST_NAD","DIST_WHN","DIST_WHR","DIST_WHD","DIST_PIN","DIST_PIR","DIST_PID","DIST_MUN","DIST_MUR","DIST_MUD","DIST_ATRN","DIST_ATRR","DIST_ATRD","DIST_BEN","DIST_BER","DIST_BED","DIST_TTLN","DIST_TTLR","DIST_TTLD","DIST_CTEN","DIST_CTER","DIST_CTED","DIST_ECNN","DIST_ECNR","DIST_ECND","DIST_GFTN","DIST_GFTR","DIST_GFTD","DIST_IMMN","DIST_IMMR","DIST_IMMD","DIST_LEPN","DIST_LEPR","DIST_LEPD","DIST_MIGN","DIST_MIGR","DIST_MIGD","DIST_OVRN","DIST_OVRR","DIST_OVRD","DIST_SPEN","DIST_SPER","DIST_SPED","cntyname","regnname","distname","COUNTY","REGION","CALC_PER_TEC"
"-","1.5","<300","001909","712","-","2.0","<200","-","1.0","<200","0","0.0","3",".",".",".","0","0.0","12",".",".",".","-","1.6","<200",".",".",".","0","0.0","4","0","0.0","38","0","0.0","2","-","1.5","<300","-","1.6","<200","-","3.3","<100","0","0.0","10",".",".",".","0","0.0","2",".",".",".","-","2.0","<100","-","6.3","<100","Anderson County","Kilgore","Slocum ISD","001","07","Yes"
"-","1.4","<100","001909","78","-","0.0","<100","-","2.8","<100",".",".",".",".",".",".","0","0.0","4",".",".",".","-","1.6","<100",".",".",".","0","0.0","2","0","0.0","6","0","0.0","1","-","1.4","<100",".",".",".","-","2.6","<100","0","0.0","4",".",".",".","0","0.0","1",".",".",".","0","0.0","17","0","0.0","11","Anderson County","Kilgore","Slocum ISD","001","07","No"
"-","1.4","<100","001909","78","-","0.0","<100","-","2.8","<100",".",".",".",".",".",".","0","0.0","4",".",".",".","-","1.6","<100",".",".",".","0","0.0","2","0","0.0","6","0","0.0","1","-","1.4","<100",".",".",".","-","2.6","<100","0","0.0","4",".",".",".","0","0.0","1",".",".",".","0","0.0","17","0","0.0","11","Anderson County","Kilgore","Slocum ISD","001","07","Yes"
"-","1.5","<200","001909","912","-","3.0","<100","-","0.0","<100","0","0.0","3",".",".",".","0","0.0","8",".",".",".","-","1.6","<200",".",".",".","0","0.0","2","0","0.0","32","0","0.0","1","-","1.5","<200","-","1.6","<200","-","3.9","<100","0","0.0","6",".",".",".","0","0.0","1",".",".",".","-","2.9","<100","-","9.5","<100","Anderson County","Kilgore","Slocum ISD","001","07","No"
"-","1.5","<200","001909","912","-","3.0","<100","-","0.0","<100","0","0.0","3",".",".",".","0","0.0","8",".",".",".","-","1.6","<200",".",".",".","0","0.0","2","0","0.0","32","0","0.0","1","-","1.5","<200","-","1.6","<200","-","3.9","<100","0","0.0","6",".",".",".","0","0.0","1",".",".",".","-","2.9","<100","-","9.5","<100","Anderson County","Kilgore","Slocum ISD","001","07","Yes"
"19","1.2","1,545","002901","712","-","0.9","<900","-","1.6","<800","0","0.0","37","0","0.0","7","-","1.4","<1,000","0","0.0","7","-","1.2","<600",".",".",".","0","0.0","28","-","2.4","<600","0","0.0","33","-","0.7","<1,600","0","0.0","310","-","1.6","<600","-","1.3","<100","0","0.0","10","-","1.7","<100","0","0.0","4","-","2.8","<400","-","1.4","<200","Andrews County","Midland","Andrews ISD","002","18","No"
"18","1.2","1,541","002901","712","-","0.7","<900","-","1.6","<800","0","0.0","37","0","0.0","7","-","1.3","<1,000","0","0.0","7","-","1.2","<600",".",".",".","0","0.0","28","-","2.2","<600","0","0.0","33","-","0.6","<1,600","0","0.0","310","-","1.4","<600","-","1.3","<100","0","0.0","10","-","1.7","<100","0","0.0","4","-","2.5","<400","-","1.5","<200","Andrews County","Midland","Andrews ISD","002","18","Yes"
"-","0.4","<600","002901","78","-","0.0","<300","-","0.8","<300","0","0.0","14","0","0.0","3","-","0.3","<400","0","0.0","2","-","0.6","<200",".",".",".","0","0.0","9","-","0.7","<200","0","0.0","16","-","0.4","<600",".",".",".","-","0.5","<300","-","4.2","<100","0","0.0","5","0","0.0","28","0","0.0","1","0","0.0","108","0","0.0","28","Andrews County","Midland","Andrews ISD","002","18","No"
"-","0.4","<600","002901","78","-","0.0","<300","-","0.8","<300","0","0.0","14","0","0.0","3","-","0.3","<400","0","0.0","2","-","0.6","<200",".",".",".","0","0.0","9","-","0.7","<200","0","0.0","16","-","0.4","<600",".",".",".","-","0.5","<300","-","4.2","<100","0","0.0","5","0","0.0","28","0","0.0","1","0","0.0","108","0","0.0","28","Andrews County","Midland","Andrews ISD","002","18","Yes"
"-","1.7","<1,100","002901","912","-","1.3","<600","-","2.0","<500","0","0.0","23","0","0.0","4","-","1.9","<700","0","0.0","5","-","1.5","<400",".",".",".","0","0.0","19","-","3.1","<400","0","0.0","17","-","0.8","<1,000","0","0.0","310","-","2.4","<300","0","0.0","56","0","0.0","5","-","3.2","<100","0","0.0","3","-","4.2","<300","-","1.8","<200","Andrews County","Midland","Andrews ISD","002","18","No"
