DISTRICT,DA0CA07R,DA0CC07R,DA0CS07R,DA0CT07R,DACRB07R,DACRM07R,DACRR07R,DB0CA07R,DB0CC07R,DB0CS07R,DB0CT07R,DBCRB07R,DBCRM07R,DBCRR07R,DECRB07R,DECRM07R,DECRR07R,DF0CA07R,DF0CC07R,DF0CS07R,DF0CT07R,DFCRB07R,DFCRM07R,DFCRR07R,DH0CA07R,DH0CC07R,DH0CS07R,DH0CT07R,DHCRB07R,DHCRM07R,DHCRR07R,DI0CA07R,DI0CC07R,DI0CS07R,DI0CT07R,DICRB07R,DICRM07R,DICRR07R,DLCRB07R,DLCRM07R,DLCRR07R,DM0CA07R,DM0CC07R,DM0CS07R,DM0CT07R,DMCRB07R,DMCRM07R,DMCRR07R,DP0CA07R,DP0CC07R,DP0CS07R,DP0CT07R,DPCRB07R,DPCRM07R,DPCRR07R,DRCRB07R,DRCRM07R,DRCRR07R,DSCRB07R,DSCRM07R,DSCRR07R,DW0CA07R,DW0CC07R,DW0CS07R,DW0CT07R,DWCRB07R,DWCRM07R,DWCRR07R
"012901",20.5,21.1,-1,77.6,28,68,34,-1,-1,.,-1,-1,-1,-1,20,53,27,20.4,15,-1,80,28,72,32,-1,-1,-1,33.3,33,50,33,.,.,.,.,.,.,.,.,.,.,20.8,27.8,-1,75,28,64,36,.,.,.,.,.,.,.,0,0,14,-1,-1,-1,20.2,17.1,-1,83.3,28,72,35
"013801",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"013901",17.8,8.2,966,57.9,23,46,29,-1,-1,-1,80,17,17,17,15,35,23,18.3,9.5,962,61.8,25,48,34,16.8,5.4,940,47.1,19,39,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,6.4,976,53.4,21,44,23,-1,-1,-1,-1,-1,-1,-1,6,29,11,0,0,0,19.1,10.9,990,75.4,28,59,33
"013902",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"013903",19,6.7,948,88.2,47,76,53,.,.,.,.,.,.,.,11,67,22,18.8,12.5,-1,-2,29,71,29,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,19.4,0,937,70,60,80,70,.,.,.,.,.,.,.,20,80,20,.,.,.,19.6,8.3,950,85.7,43,71,50
"013905",18.6,14.3,-1,38.2,23,44,28,.,.,.,-1,-1,-1,-1,7,24,14,19.2,20,.,55.6,29,53,41,16.8,0,.,21.4,12,30,19,.,.,.,.,.,.,.,.,.,.,17.9,9.1,-1,29.7,19,41,22,.,.,.,.,.,.,.,14,32,19,.,.,.,19.2,20,-1,62.5,33,63,38
"014801",.,-1,-1,5.6,11,11,29,.,-1,-1,10,0,0,13,17,17,57,.,-1,-1,7.1,12,12,30,.,-1,.,10,-1,-1,-1,.,.,.,-1,-1,-1,-1,.,.,.,.,.,.,0,-1,-1,-1,.,.,.,-1,-1,-1,-1,6,6,26,.,.,.,.,.,-1,0,29,29,38
"014802",.,.,.,0,0,8,17,.,.,.,0,0,11,11,-1,-1,-1,.,.,.,0,0,14,14,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,20,.,.,.,.,.,.,.,0,0,22,.,.,-1,.,.,.,0,-1,-1,-1
"014803",.,.,.,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.
"014804",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014901",21.2,27.3,1001,84.6,40,59,52,.,.,.,.,.,.,.,0,40,20,21.3,26.9,987,74.3,38,49,57,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,20.8,27.8,1026,-2,43,76,43,.,.,.,.,.,.,.,9,22,22,17,17,17,21,28.6,1008,85.7,41,59,54
"014902",22,20,791,57.7,8,26,26,.,-1,-1,-1,-1,-1,-1,8,14,29,-1,25,837,72.7,18,33,55,-1,0,-1,38.5,8,23,29,.,.,.,.,.,.,.,.,.,.,-1,14.3,736,46.7,0,20,6,.,.,.,.,.,.,.,5,23,27,-1,-1,-1,-1,33.3,773,81.8,9,33,27
