DISTRICT,DA0CA10R,DA0CC10R,DA0CS10R,DA0CT10R,DACRB10R,DACRM10R,DACRR10R,DB0CA10R,DB0CC10R,DB0CS10R,DB0CT10R,DBCRB10R,DBCRM10R,DBCRR10R,DECRB10R,DECRM10R,DECRR10R,DF0CA10R,DF0CC10R,DF0CS10R,DF0CT10R,DFCRB10R,DFCRM10R,DFCRR10R,DH0CA10R,DH0CC10R,DH0CS10R,DH0CT10R,DHCRB10R,DHCRM10R,DHCRR10R,DI0CA10R,DI0CC10R,DI0CS10R,DI0CT10R,DICRB10R,DICRM10R,DICRR10R,DLCRB10R,DLCRM10R,DLCRR10R,DM0CA10R,DM0CC10R,DM0CS10R,DM0CT10R,DMCRB10R,DMCRM10R,DMCRR10R,DRCRB10R,DRCRM10R,DRCRR10R,DSCRB10R,DSCRM10R,DSCRR10R,DW0CA10R,DW0CC10R,DW0CS10R,DW0CT10R,DWCRB10R,DWCRM10R,DWCRR10R,D20CA10R,D20CC10R,D20CS10R,D20CT10R,D2CRB10R,D2CRM10R,D2CRR10R,D30CA10R,D30CC10R,D30CS10R,D30CT10R,D3CRB10R,D3CRM10R,D3CRR10R,D40CA10R,D40CC10R,D40CS10R,D40CT10R,D4CRB10R,D4CRM10R,D4CRR10R
"013901",17.8,10.2,1008,40.7,49,61,65,-1,0,-1,71.4,29,43,57,30,52,52,18.1,10,1047,46.3,63,68,81,17.4,6.8,947,38.1,48,60,65,.,.,.,-1,-1,-1,-1,-1,-1,-1,17.4,10.5,981,35.2,38,56,52,22,31,48,-3,-3,7,19.4,25,1106,43.5,51,69,63,.,.,.,-1,-1,-1,-1,-1,-1,.,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1
"013902",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"013903",16.8,11.1,-1,39.1,35,62,45,-1,-1,.,-1,-1,-1,-1,36,64,45,17.5,12.5,-1,66.7,45,58,55,14.8,0,.,38.5,25,50,33,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,.,9.1,22,67,33,27,55,36,-1,-1,-1,-1,-1,-1,33.3,57,88,57,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1
"013905",18.6,16.7,-1,53.6,61,75,75,-1,-1,.,-1,-1,-1,-1,61,74,77,19,22.2,-1,62.1,61,71,79,16.8,14.3,.,45.2,52,70,69,.,.,.,-1,-1,-1,-1,-1,-1,-1,18,8.3,.,44.4,61,79,71,33,50,53,-1,-1,-1,21.1,20,-1,68.2,70,80,81,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1,.,.,.,-1,-1,-1,-1
"014801",.,-1,-1,7.3,6,21,22,.,-1,-1,4.2,-3,13,14,-3,20,11,.,-1,-1,3.1,-3,30,22,.,.,.,0,-1,-1,-1,.,.,.,.,-1,-1,-1,-1,-1,-1,.,-1,-1,13,11,11,22,-3,14,15,-1,-1,-1,.,-1,-1,15.8,14,43,29,.,.,.,-1,-1,-1,-1,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1
"014802",-1,16.7,-1,15.8,14,36,40,.,.,.,0,-1,-1,-1,20,40,20,-1,16.7,-1,26.1,20,30,50,-1,-1,.,30,-3,-3,33,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,0,-1,-1,20,11,44,20,-1,-1,-1,-1,-1,-1,18.8,25,63,38,.,.,.,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,.,.,.,.,-1,-1,-1
"014803",.,-1,-1,57.1,25,25,75,.,-1,-1,33.3,-3,-3,60,20,20,60,.,-1,-1,60,17,17,67,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1,-1,-1,-1,.,-1,-1,-1,-1,-1,-1,14,14,71,-1,-1,-1,.,-1,-1,-2,-1,-1,-1,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1
"014804",.,.,.,0,29,29,71,.,.,.,-1,-1,-1,-1,-1,-1,-1,.,.,.,0,20,20,80,.,.,.,-1,-1,-1,-1,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,20,20,80,-1,-1,-1,.,.,.,0,33,33,67,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1
"014901",20.6,40.5,1016,56,66,79,74,.,.,.,.,-1,-1,-1,56,72,72,19.8,35,997,52.6,61,73,71,-1,-1,-1,22.2,63,69,63,.,.,.,.,-1,-1,-1,-1,-1,-1,21.5,45.5,1033,59.5,71,84,76,50,50,75,-1,-1,-1,20.8,43.2,1000,64.9,67,82,77,.,.,.,.,-1,-1,-1,.,-1,-1,-2,-1,-1,-1,.,.,.,.,-1,-1,-1
"014902",-1,5.3,833,79.2,27,41,50,.,0,760,100,17,17,33,18,36,50,-1,7.7,820,81.3,21,36,50,-1,0,782,75,17,50,43,.,.,.,-1,-1,-1,-1,-1,-1,-1,.,0,860,75,38,50,50,-3,9,36,-1,-1,-1,-1,14.3,941,77.8,50,63,67,.,-1,-1,-1,-1,-1,-1,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1
